鄉鎮市區,交易標的,土地區段位置/建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元/平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position/building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year, month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan/square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
新店區,房地(土地+建物)+車位,新北市新店區中興路二段31~60號,17.52,住,,,1051019,土地1建物1車位1,二十層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050912,214.24,4,2,2,有,有,24820000,115851,坡道平面,25.01,0,,RPTOMLMKJILFFCF97CA
新店區,房地(土地+建物)+車位,新北市新店區中興路二段31~60號,17.74,住,,,1051019,土地1建物1車位2,二十一層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050912,239.25,4,2,2,有,有,26750000,111808,坡道平面,50.02,0,,RPUOMLMKJILFFCF08CA
新店區,房地(土地+建物)+車位,新北市新店區中興路二段31~60號,10.69,住,,,1051019,土地1建物1車位1,二十層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050912,160.7,3,2,2,有,有,18270000,113690,坡道平面,25.01,0,,SPUOMLMKJILFFCF18CA
新店區,房地(土地+建物)+車位,新北市新店區中興路二段31~60號,12.97,住,,,1051019,土地1建物1車位2,十六層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050912,182.31,3,2,2,有,有,20000000,109703,坡道平面,46.65,0,,RPVOMLMKJILFFCF18CA
新店區,房地(土地+建物)+車位,新北市新店區中興路二段31~60號,12.74,住,,,1051019,土地1建物1車位1,二十層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050912,160.67000000000002,3,2,2,有,有,17800000,110786,坡道平面,25.01,0,,RPWOMLMKJILFFCF28CA
新店區,房地(土地+建物)+車位,新北市新店區中興路二段31~60號,12.51,住,,,1051019,土地1建物1車位1,二層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050912,164.20999999999998,3,2,2,有,有,17900000,109007,坡道平面,25.01,0,,RPOPMLMKJILFFCF57CA
新店區,房地(土地+建物)+車位,新北市新店區中興路二段31~60號,12.51,住,,,1051019,土地1建物1車位1,四層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050912,164.20999999999998,3,2,2,有,有,16820000,102430,坡道平面,25.01,0,,RPQPMLMKJILFFCF77CA
新店區,房地(土地+建物)+車位,新北市新店區中興路二段31~60號,12.51,住,,,1051019,土地1建物1車位1,五層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050912,164.20999999999998,3,2,2,有,有,17880000,108885,坡道平面,25.01,0,,RPRPMLMKJILFFCF87CA
新店區,房地(土地+建物)+車位,新北市新店區中興路二段31~60號,12.74,住,,,1051019,土地1建物1車位2,七層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050912,175.72,3,2,2,有,有,18470000,105110,坡道平面,36.52,0,,RPSPMLMKJILFFCF97CA
新店區,房地(土地+建物)+車位,新北市新店區中興路二段31~60號,12.51,住,,,1051019,土地1建物1車位1,十二層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050912,150.70999999999998,2,2,2,有,有,17680000,117311,坡道機械,11.51,0,,RPUPMLMKJILFFCF18CA
新店區,房地(土地+建物),新北市新店區中興路二段31~60號,12.28,住,,,1051019,土地1建物1車位0,十七層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050912,139.2,2,2,2,有,有,16470000,118319,,0.0,0,,RPVPMLMKJILFFCF28CA
新店區,房地(土地+建物)+車位,新北市新店區中興路二段31~60號,12.51,住,,,1051019,土地1建物1車位1,二十層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050912,164.20999999999998,3,2,2,有,有,18670000,113696,坡道平面,25.01,0,,RPWPMLMKJILFFCF38CA
新店區,房地(土地+建物)+車位,新北市新店區中興路二段31~60號,12.51,住,,,1051019,土地1建物1車位1,二十一層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050912,164.20999999999998,2,2,2,有,有,18880000,114975,坡道平面,25.01,0,,RPXPMLMKJILFFCF48CA
新店區,房地(土地+建物),新北市新店區中興路二段31~60號,8.87,住,,,1051019,土地1建物1車位0,四層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050912,90.84,2,2,1,有,有,9980000,109863,,0.0,0,,RPOQMLMKJILFFCF67CA
新店區,房地(土地+建物)+車位,新北市新店區中興路二段31~60號,9.1,住,,,1051019,土地1建物1車位1,五層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050912,102.35,2,2,1,有,有,10800000,105520,坡道機械,11.51,0,,RPPQMLMKJILFFCF77CA
新店區,房地(土地+建物)+車位,新北市新店區中興路二段31~60號,9.55,住,,,1051019,土地1建物1車位3,六層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050912,125.36,2,2,1,有,有,12630000,100750,坡道機械,34.53,0,,RPQQMLMKJILFFCF87CA
新店區,房地(土地+建物)+車位,新北市新店區中興路二段31~60號,9.1,住,,,1051019,土地1建物1車位1,十二層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050912,102.35,2,2,1,有,有,11400000,111383,坡道機械,11.51,0,,RPRQMLMKJILFFCF97CA
新店區,房地(土地+建物)+車位,新北市新店區中興路二段31~60號,9.1,住,,,1051019,土地1建物1車位1,十八層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050912,102.35,2,2,1,有,有,11300000,110405,坡道機械,11.51,0,,RPSQMLMKJILFFCF08CA
新店區,房地(土地+建物)+車位,新北市新店區中興路二段31~60號,9.1,住,,,1051019,土地1建物1車位1,十九層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050912,115.85,2,2,1,有,有,13000000,112214,坡道平面,25.01,0,,RPTQMLMKJILFFCF18CA
新店區,房地(土地+建物),新北市新店區中興路二段31~60號,9.33,住,,,1051019,土地1建物1車位0,三層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050912,101.28,2,2,1,有,有,11000000,108610,,0.0,0,,RPVQMLMKJILFFCF38CA
新店區,房地(土地+建物)+車位,新北市新店區中興路二段31~60號,12.74,住,,,1051019,土地1建物1車位1,二十二層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050912,163.01,3,2,2,有,有,19200000,117784,坡道平面,21.64,0,,RPPRMLMKJILFFCF87CA
新店區,房地(土地+建物)+車位,新北市新店區中興路二段31~60號,7.28,住,,,1051019,土地1建物1車位1,十二層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050912,105.18,2,2,1,有,有,11820000,112379,坡道機械,11.51,0,,RPSNMLNKJILFFCF87CA
新店區,房地(土地+建物)+車位,新北市新店區中興路二段31~60號,10.69,住,,,1051019,土地1建物1車位1,二十二層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050912,157.32,2,2,2,有,有,18900000,120137,坡道平面,21.64,0,,RPVNMLNKJILFFCF18CA
新店區,房地(土地+建物)+車位,新北市新店區中興路二段31~60號,7.51,住,,,1051019,土地1建物1車位1,十層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1050912,91.43,2,2,1,有,有,9800000,107186,坡道機械,11.51,0,,RPXNMLNKJILFFCF38CA
